Set(Tea Powder)->5383
Set(Lassi)->5431
Set(Yougurt)->5502
Set(Coffee Powder)->5508
Set(Panner)->5444
Set(Butter)->5480
Set(Sugar)->5482
Set(Sweet)->5483
Set(Bread)->5484
Set(Ghee)->5509
Set(Milk)->5526
Set(Cheese)->5475
Set(Sweet, Panner)->2505
Set(Milk, Panner)->2483
Set(Tea Powder, Coffee Powder)->2451
Set(Butter, Panner)->2483
Set(Sweet, Milk)->2512
Set(Coffee Powder, Bread)->2528
Set(Sweet, Ghee)->2504
Set(Sweet, Yougurt)->2478
Set(Butter, Milk)->2491
Set(Ghee, Panner)->2523
Set(Sweet, Bread)->2539
Set(Butter, Lassi)->2500
Set(Coffee Powder, Milk)->2518
Set(Lassi, Cheese)->2483
Set(Yougurt, Coffee Powder)->2554
Set(Tea Powder, Bread)->2445
Set(Sugar, Milk)->2563
Set(Sweet, Tea Powder)->2503
Set(Lassi, Coffee Powder)->2511
Set(Sugar, Coffee Powder)->2503
Set(Sweet, Cheese)->2498
Set(Sugar, Ghee)->2516
Set(Sweet, Lassi)->2576
Set(Sugar, Lassi)->2503
Set(Butter, Ghee)->2529
Set(Yougurt, Cheese)->2531
Set(Tea Powder, Cheese)->2391
Set(Tea Powder, Ghee)->2418
Set(Yougurt, Milk)->2513
Set(Coffee Powder, Cheese)->2516
Set(Butter, Yougurt)->2528
Set(Butter, Cheese)->2484
Set(Sugar, Tea Powder)->2473
Set(Tea Powder, Panner)->2409
Set(Cheese, Bread)->2530
Set(Tea Powder, Milk)->2444
Set(Lassi, Panner)->2497
Set(Butter, Coffee Powder)->2501
Set(Cheese, Panner)->2497
Set(Tea Powder, Lassi)->2439
Set(Ghee, Coffee Powder)->2577
Set(Tea Powder, Yougurt)->2486
Set(Lassi, Bread)->2506
Set(Butter, Sweet)->2543
Set(Ghee, Cheese)->2471
Set(Sugar, Bread)->2479
Set(Yougurt, Panner)->2498
Set(Ghee, Milk)->2511
Set(Yougurt, Bread)->2507
Set(Coffee Powder, Panner)->2482
Set(Bread, Milk)->2517
Set(Lassi, Milk)->2539
Set(Sugar, Panner)->2505
Set(Ghee, Bread)->2503
Set(Sugar, Yougurt)->2529
Set(Butter, Tea Powder)->2417
Set(Cheese, Milk)->2468
Set(Butter, Bread)->2467
Set(Bread, Panner)->2550
Set(Ghee, Yougurt)->2476
Set(Yougurt, Lassi)->2465
Set(Sugar, Sweet)->2495
Set(Sugar, Cheese)->2460
Set(Sweet, Coffee Powder)->2496
Set(Ghee, Lassi)->2510
Set(Sugar, Butter)->2571
Set(Sugar, Tea Powder, Cheese)->1121
Set(Sweet, Milk, Panner)->1178
Set(Sugar, Lassi, Milk)->1211
Set(Sugar, Tea Powder, Yougurt)->1189
Set(Tea Powder, Milk, Panner)->1113
Set(Sweet, Coffee Powder, Panner)->1175
Set(Sugar, Bread, Milk)->1203
Set(Butter, Sweet, Panner)->1221
Set(Sweet, Bread, Panner)->1218
Set(Coffee Powder, Milk, Panner)->1155
Set(Butter, Tea Powder, Lassi)->1117
Set(Sugar, Butter, Tea Powder)->1167
Set(Sugar, Tea Powder, Bread)->1148
Set(Ghee, Lassi, Coffee Powder)->1232
Set(Sweet, Lassi, Milk)->1230
Set(Sugar, Bread, Panner)->1192
Set(Butter, Sweet, Yougurt)->1210
Set(Tea Powder, Ghee, Lassi)->1163
Set(Lassi, Milk, Panner)->1205
Set(Tea Powder, Lassi, Coffee Powder)->1163
Set(Tea Powder, Yougurt, Coffee Powder)->1193
Set(Butter, Sweet, Cheese)->1186
Set(Sweet, Ghee, Cheese)->1140
Set(Sweet, Yougurt, Coffee Powder)->1185
Set(Sugar, Sweet, Milk)->1214
Set(Butter, Tea Powder, Milk)->1120
Set(Sugar, Butter, Bread)->1184
Set(Sugar, Cheese, Milk)->1182
Set(Sweet, Coffee Powder, Cheese)->1152
Set(Sugar, Coffee Powder, Cheese)->1156
Set(Butter, Coffee Powder, Bread)->1157
Set(Ghee, Yougurt, Lassi)->1165
Set(Sugar, Butter, Panner)->1208
Set(Sugar, Tea Powder, Ghee)->1152
Set(Butter, Tea Powder, Bread)->1126
Set(Butter, Ghee, Bread)->1158
Set(Ghee, Yougurt, Bread)->1163
Set(Sugar, Ghee, Milk)->1204
Set(Sweet, Ghee, Yougurt)->1130
Set(Butter, Sweet, Ghee)->1173
Set(Lassi, Cheese, Bread)->1189
Set(Sweet, Cheese, Milk)->1153
Set(Yougurt, Milk, Panner)->1173
Set(Sugar, Coffee Powder, Bread)->1181
Set(Sugar, Coffee Powder, Milk)->1218
Set(Sweet, Lassi, Coffee Powder)->1231
Set(Sweet, Tea Powder, Yougurt)->1158
Set(Sugar, Sweet, Bread)->1162
Set(Butter, Coffee Powder, Panner)->1149
Set(Ghee, Coffee Powder, Milk)->1197
Set(Lassi, Coffee Powder, Milk)->1204
Set(Tea Powder, Lassi, Cheese)->1100
Set(Ghee, Coffee Powder, Bread)->1206
Set(Yougurt, Cheese, Panner)->1198
Set(Coffee Powder, Cheese, Milk)->1177
Set(Sugar, Sweet, Yougurt)->1185
Set(Sugar, Cheese, Bread)->1171
Set(Ghee, Coffee Powder, Cheese)->1180
Set(Tea Powder, Yougurt, Bread)->1187
Set(Lassi, Cheese, Panner)->1184
Set(Sweet, Ghee, Bread)->1198
Set(Coffee Powder, Cheese, Bread)->1213
Set(Tea Powder, Bread, Panner)->1165
Set(Tea Powder, Ghee, Milk)->1150
Set(Yougurt, Lassi, Panner)->1169
Set(Butter, Tea Powder, Cheese)->1092
Set(Ghee, Coffee Powder, Panner)->1192
Set(Lassi, Coffee Powder, Cheese)->1180
Set(Sweet, Ghee, Panner)->1169
Set(Sugar, Sweet, Panner)->1167
Set(Tea Powder, Ghee, Cheese)->1087
Set(Yougurt, Coffee Powder, Milk)->1237
Set(Sugar, Ghee, Bread)->1178
Set(Butter, Yougurt, Bread)->1184
Set(Sugar, Tea Powder, Coffee Powder)->1182
Set(Coffee Powder, Bread, Panner)->1216
Set(Tea Powder, Ghee, Panner)->1139
Set(Butter, Ghee, Coffee Powder)->1215
Set(Ghee, Bread, Milk)->1184
Set(Sweet, Lassi, Bread)->1238
Set(Sugar, Butter, Coffee Powder)->1211
Set(Sugar, Yougurt, Panner)->1184
Set(Butter, Lassi, Cheese)->1149
Set(Tea Powder, Coffee Powder, Bread)->1166
Set(Butter, Tea Powder, Yougurt)->1169
Set(Butter, Sweet, Bread)->1177
Set(Sugar, Ghee, Panner)->1187
Set(Tea Powder, Cheese, Bread)->1131
Set(Sweet, Coffee Powder, Bread)->1205
Set(Butter, Ghee, Yougurt)->1194
Set(Lassi, Coffee Powder, Panner)->1198
Set(Tea Powder, Cheese, Milk)->1094
Set(Butter, Sweet, Tea Powder)->1172
Set(Tea Powder, Yougurt, Lassi)->1130
Set(Ghee, Milk, Panner)->1166
Set(Sweet, Bread, Milk)->1204
Set(Sweet, Tea Powder, Lassi)->1216
Set(Sweet, Ghee, Lassi)->1211
Set(Butter, Bread, Panner)->1174
Set(Ghee, Lassi, Cheese)->1170
Set(Tea Powder, Coffee Powder, Milk)->1146
Set(Sweet, Yougurt, Bread)->1166
Set(Sugar, Yougurt, Milk)->1199
Set(Sweet, Yougurt, Milk)->1163
Set(Butter, Coffee Powder, Cheese)->1157
Set(Butter, Lassi, Coffee Powder)->1190
Set(Butter, Yougurt, Coffee Powder)->1215
Set(Sugar, Ghee, Cheese)->1129
Set(Sugar, Butter, Yougurt)->1235
Set(Yougurt, Lassi, Cheese)->1187
Set(Sugar, Butter, Sweet)->1249
Set(Sugar, Ghee, Lassi)->1193
Set(Tea Powder, Cheese, Panner)->1117
Set(Sweet, Ghee, Milk)->1178
Set(Yougurt, Bread, Milk)->1192
Set(Butter, Yougurt, Milk)->1181
Set(Sugar, Lassi, Coffee Powder)->1192
Set(Butter, Cheese, Panner)->1183
Set(Yougurt, Coffee Powder, Cheese)->1206
Set(Sugar, Tea Powder, Milk)->1207
Set(Butter, Bread, Milk)->1178
Set(Butter, Lassi, Milk)->1201
Set(Bread, Milk, Panner)->1217
Set(Sugar, Sweet, Cheese)->1136
Set(Butter, Tea Powder, Coffee Powder)->1142
Set(Sugar, Sweet, Lassi)->1235
Set(Sugar, Milk, Panner)->1207
Set(Sweet, Tea Powder, Cheese)->1135
Set(Sweet, Tea Powder, Milk)->1187
Set(Tea Powder, Ghee, Yougurt)->1129
Set(Ghee, Lassi, Panner)->1218
Set(Sweet, Coffee Powder, Milk)->1169
Set(Tea Powder, Lassi, Milk)->1159
Set(Sweet, Yougurt, Lassi)->1197
Set(Ghee, Yougurt, Coffee Powder)->1225
Set(Sweet, Tea Powder, Bread)->1168
Set(Sugar, Cheese, Panner)->1172
Set(Sugar, Lassi, Bread)->1176
Set(Tea Powder, Yougurt, Panner)->1143
Set(Ghee, Cheese, Milk)->1162
Set(Butter, Tea Powder, Ghee)->1158
Set(Butter, Tea Powder, Panner)->1117
Set(Ghee, Yougurt, Panner)->1179
Set(Butter, Lassi, Bread)->1149
Set(Sweet, Yougurt, Lassi, Bread)->558
Set(Butter, Tea Powder, Coffee Powder, Bread)->536
Set(Sugar, Ghee, Yougurt, Panner)->563
Set(Sweet, Lassi, Cheese, Milk)->573
Set(Sugar, Yougurt, Bread, Milk)->563
Set(Lassi, Coffee Powder, Milk, Panner)->567
Set(Sweet, Tea Powder, Milk, Panner)->556
Set(Sweet, Ghee, Lassi, Coffee Powder)->586
Set(Tea Powder, Lassi, Coffee Powder, Panner)->558
Set(Sugar, Sweet, Tea Powder, Yougurt)->555
Set(Sugar, Butter, Sweet, Milk)->607
Set(Butter, Sweet, Tea Powder, Lassi)->574
Set(Ghee, Coffee Powder, Bread, Milk)->555
Set(Ghee, Bread, Milk, Panner)->580
Set(Tea Powder, Coffee Powder, Bread, Milk)->543
Set(Butter, Yougurt, Coffee Powder, Cheese)->560
Set(Ghee, Lassi, Bread, Panner)->601
Set(Sugar, Butter, Sweet, Lassi)->623
Set(Sweet, Tea Powder, Bread, Milk)->561
Set(Sugar, Ghee, Coffee Powder, Milk)->567
Set(Sugar, Sweet, Tea Powder, Cheese)->536
Set(Yougurt, Coffee Powder, Milk, Panner)->566
Set(Sweet, Ghee, Cheese, Bread)->554
Set(Ghee, Coffee Powder, Cheese, Panner)->563
Set(Lassi, Coffee Powder, Cheese, Bread)->580
Set(Sugar, Butter, Sweet, Tea Powder)->586
Set(Sugar, Butter, Yougurt, Lassi)->586
Set(Butter, Yougurt, Coffee Powder, Panner)->575
Set(Sweet, Yougurt, Cheese, Milk)->549
Set(Sugar, Tea Powder, Lassi, Panner)->562
Set(Butter, Ghee, Yougurt, Panner)->603
Set(Butter, Tea Powder, Milk, Panner)->498
Set(Sweet, Coffee Powder, Milk, Panner)->550
Set(Ghee, Coffee Powder, Cheese, Bread)->587
Set(Sugar, Tea Powder, Lassi, Cheese)->519
Set(Sugar, Tea Powder, Ghee, Lassi)->568
Set(Sweet, Yougurt, Coffee Powder, Milk)->572
Set(Butter, Tea Powder, Yougurt, Cheese)->535
Set(Sugar, Yougurt, Lassi, Coffee Powder)->562
Set(Sugar, Ghee, Yougurt, Lassi)->571
Set(Sugar, Yougurt, Lassi, Milk)->568
Set(Sugar, Yougurt, Coffee Powder, Bread)->559
Set(Sweet, Tea Powder, Yougurt, Lassi)->548
Set(Tea Powder, Ghee, Yougurt, Cheese)->530
Set(Butter, Tea Powder, Ghee, Coffee Powder)->573
Set(Sweet, Yougurt, Cheese, Bread)->555
Set(Butter, Lassi, Cheese, Bread)->526
Set(Sugar, Tea Powder, Lassi, Coffee Powder)->577
Set(Yougurt, Lassi, Cheese, Bread)->571
Set(Lassi, Coffee Powder, Cheese, Panner)->570
Set(Ghee, Yougurt, Coffee Powder, Bread)->575
Set(Sugar, Ghee, Yougurt, Coffee Powder)->571
Set(Sweet, Lassi, Bread, Milk)->592
Set(Sugar, Butter, Sweet, Bread)->578
Set(Tea Powder, Yougurt, Cheese, Bread)->563
Set(Yougurt, Coffee Powder, Bread, Milk)->585
Set(Butter, Ghee, Lassi, Bread)->554
Set(Sugar, Tea Powder, Yougurt, Lassi)->552
Set(Ghee, Lassi, Coffee Powder, Bread)->593
Set(Sugar, Yougurt, Bread, Panner)->556
Set(Sweet, Yougurt, Lassi, Milk)->575
Set(Sugar, Butter, Yougurt, Milk)->586
Set(Butter, Cheese, Milk, Panner)->538
Set(Lassi, Coffee Powder, Cheese, Milk)->566
Set(Sweet, Tea Powder, Coffee Powder, Cheese)->517
Set(Sugar, Butter, Ghee, Milk)->591
Set(Butter, Coffee Powder, Cheese, Milk)->545
Set(Ghee, Yougurt, Coffee Powder, Cheese)->584
Set(Ghee, Yougurt, Bread, Milk)->559
Set(Butter, Sweet, Tea Powder, Coffee Powder)->546
Set(Ghee, Lassi, Coffee Powder, Cheese)->573
Set(Butter, Sweet, Coffee Powder, Panner)->549
Set(Sugar, Butter, Ghee, Yougurt)->586
Set(Sugar, Ghee, Coffee Powder, Panner)->554
Set(Tea Powder, Lassi, Coffee Powder, Milk)->548
Set(Sugar, Sweet, Ghee, Bread)->553
Set(Butter, Sweet, Tea Powder, Yougurt)->550
Set(Tea Powder, Yougurt, Coffee Powder, Panner)->543
Set(Sugar, Tea Powder, Lassi, Bread)->537
Set(Sugar, Sweet, Lassi, Coffee Powder)->596
Set(Butter, Sweet, Yougurt, Lassi)->594
Set(Sugar, Sweet, Yougurt, Milk)->573
Set(Sugar, Sweet, Tea Powder, Milk)->593
Set(Yougurt, Lassi, Bread, Panner)->545
Set(Sugar, Ghee, Yougurt, Milk)->569
Set(Butter, Sweet, Lassi, Coffee Powder)->577
Set(Sugar, Tea Powder, Ghee, Coffee Powder)->570
Set(Sugar, Butter, Tea Powder, Milk)->564
Set(Butter, Sweet, Yougurt, Coffee Powder)->584
Set(Butter, Tea Powder, Cheese, Panner)->520
Set(Butter, Sweet, Tea Powder, Ghee)->537
Set(Butter, Ghee, Lassi, Milk)->575
Set(Sweet, Yougurt, Coffee Powder, Bread)->572
Set(Ghee, Lassi, Cheese, Bread)->573
Set(Sugar, Yougurt, Milk, Panner)->563
Set(Sugar, Lassi, Coffee Powder, Panner)->595
Set(Sugar, Butter, Tea Powder, Coffee Powder)->569
Set(Butter, Sweet, Ghee, Bread)->538
Set(Lassi, Coffee Powder, Bread, Panner)->609
Set(Sugar, Yougurt, Lassi, Cheese)->560
Set(Tea Powder, Ghee, Coffee Powder, Panner)->537
Set(Tea Powder, Ghee, Yougurt, Coffee Powder)->566
Set(Coffee Powder, Cheese, Bread, Panner)->586
Set(Sweet, Lassi, Bread, Panner)->613
Set(Butter, Tea Powder, Ghee, Yougurt)->554
Set(Sweet, Ghee, Coffee Powder, Cheese)->527
Set(Sugar, Cheese, Bread, Milk)->579
Set(Yougurt, Lassi, Coffee Powder, Bread)->551
Set(Butter, Sweet, Tea Powder, Bread)->534
Set(Sweet, Ghee, Bread, Milk)->577
Set(Butter, Yougurt, Lassi, Milk)->571
Set(Butter, Tea Powder, Lassi, Coffee Powder)->540
Set(Tea Powder, Lassi, Coffee Powder, Bread)->552
Set(Butter, Sweet, Bread, Panner)->570
Set(Sugar, Tea Powder, Milk, Panner)->555
Set(Sweet, Yougurt, Bread, Panner)->569
Set(Butter, Coffee Powder, Bread, Panner)->538
Set(Sugar, Butter, Milk, Panner)->569
Set(Butter, Tea Powder, Yougurt, Coffee Powder)->573
Set(Sweet, Yougurt, Coffee Powder, Cheese)->551
Set(Sweet, Lassi, Cheese, Panner)->600
Set(Sugar, Tea Powder, Cheese, Bread)->533
Set(Sweet, Yougurt, Lassi, Panner)->588
Set(Butter, Tea Powder, Yougurt, Lassi)->522
Set(Sugar, Butter, Yougurt, Cheese)->560
Set(Sugar, Sweet, Tea Powder, Bread)->550
Set(Butter, Ghee, Bread, Panner)->568
Set(Butter, Yougurt, Lassi, Panner)->561
Set(Sugar, Tea Powder, Ghee, Bread)->546
Set(Butter, Sweet, Lassi, Bread)->562
Set(Sugar, Butter, Cheese, Bread)->548
Set(Yougurt, Coffee Powder, Cheese, Bread)->577
Set(Sugar, Butter, Ghee, Coffee Powder)->586
Set(Yougurt, Coffee Powder, Bread, Panner)->575
Set(Sweet, Tea Powder, Cheese, Bread)->537
Set(Sugar, Lassi, Coffee Powder, Cheese)->544
Set(Butter, Lassi, Coffee Powder, Milk)->577
Set(Ghee, Cheese, Bread, Milk)->565
Set(Yougurt, Coffee Powder, Cheese, Panner)->566
Set(Sweet, Ghee, Milk, Panner)->549
Set(Sugar, Sweet, Yougurt, Panner)->557
Set(Sugar, Tea Powder, Cheese, Panner)->537
Set(Butter, Tea Powder, Bread, Milk)->530
Set(Sweet, Lassi, Coffee Powder, Bread)->597
Set(Sugar, Butter, Sweet, Ghee)->583
Set(Sweet, Ghee, Yougurt, Bread)->524
Set(Butter, Sweet, Tea Powder, Cheese)->539
Set(Sugar, Butter, Bread, Panner)->560
Set(Sugar, Butter, Sweet, Panner)->589
Set(Tea Powder, Ghee, Cheese, Milk)->517
Set(Sugar, Sweet, Yougurt, Cheese)->552
Set(Tea Powder, Yougurt, Milk, Panner)->526
Set(Butter, Tea Powder, Lassi, Cheese)->490
Set(Tea Powder, Yougurt, Bread, Panner)->555
Set(Sugar, Ghee, Yougurt, Cheese)->554
Set(Sugar, Tea Powder, Yougurt, Panner)->562
Set(Sugar, Butter, Bread, Milk)->586
Set(Sweet, Lassi, Coffee Powder, Cheese)->571
Set(Tea Powder, Lassi, Cheese, Panner)->534
Set(Sugar, Butter, Yougurt, Coffee Powder)->608
Set(Sweet, Tea Powder, Ghee, Panner)->531
Set(Sugar, Coffee Powder, Cheese, Milk)->575
Set(Tea Powder, Ghee, Yougurt, Panner)->536
Set(Butter, Bread, Milk, Panner)->552
Set(Ghee, Yougurt, Cheese, Bread)->571
Set(Butter, Tea Powder, Cheese, Bread)->522
Set(Ghee, Lassi, Milk, Panner)->587
Set(Sugar, Ghee, Lassi, Cheese)->544
Set(Tea Powder, Yougurt, Coffee Powder, Bread)->583
Set(Sugar, Sweet, Cheese, Bread)->534
Set(Sugar, Butter, Tea Powder, Yougurt)->575
Set(Butter, Ghee, Yougurt, Cheese)->547
Set(Sugar, Sweet, Yougurt, Bread)->545
Set(Butter, Yougurt, Lassi, Cheese)->544
Set(Sugar, Sweet, Coffee Powder, Milk)->571
Set(Sugar, Ghee, Cheese, Bread)->545
Set(Sugar, Coffee Powder, Bread, Panner)->584
Set(Ghee, Coffee Powder, Cheese, Milk)->567
Set(Sugar, Ghee, Bread, Milk)->564
Set(Sugar, Ghee, Lassi, Coffee Powder)->574
Set(Tea Powder, Yougurt, Cheese, Panner)->546
Set(Lassi, Cheese, Bread, Milk)->561
Set(Sweet, Yougurt, Cheese, Panner)->593
Set(Sweet, Tea Powder, Yougurt, Coffee Powder)->554
Set(Butter, Tea Powder, Ghee, Panner)->569
Set(Sugar, Ghee, Cheese, Panner)->544
Set(Butter, Tea Powder, Coffee Powder, Panner)->509
Set(Butter, Tea Powder, Cheese, Milk)->496
Set(Butter, Ghee, Cheese, Bread)->528
Set(Butter, Coffee Powder, Milk, Panner)->523
Set(Sugar, Sweet, Tea Powder, Panner)->549
Set(Butter, Sweet, Coffee Powder, Milk)->558
Set(Tea Powder, Yougurt, Lassi, Milk)->534
Set(Sugar, Ghee, Lassi, Panner)->587
Set(Butter, Sweet, Yougurt, Bread)->552
Set(Sweet, Lassi, Milk, Panner)->619
Set(Ghee, Cheese, Milk, Panner)->548
Set(Sugar, Cheese, Milk, Panner)->566
Set(Ghee, Yougurt, Coffee Powder, Panner)->576
Set(Sweet, Tea Powder, Ghee, Coffee Powder)->533
Set(Sweet, Yougurt, Bread, Milk)->562
Set(Ghee, Yougurt, Milk, Panner)->554
Set(Sugar, Ghee, Lassi, Bread)->574
Set(Sugar, Tea Powder, Yougurt, Cheese)->550
Set(Sugar, Tea Powder, Ghee, Yougurt)->548
Set(Sugar, Butter, Ghee, Lassi)->587
Set(Butter, Sweet, Ghee, Milk)->554
Set(Sugar, Butter, Lassi, Cheese)->549
Set(Butter, Yougurt, Bread, Panner)->567
Set(Sugar, Tea Powder, Cheese, Milk)->544
Set(Sugar, Tea Powder, Yougurt, Coffee Powder)->579
Set(Tea Powder, Lassi, Coffee Powder, Cheese)->520
Set(Sugar, Sweet, Ghee, Yougurt)->542
Set(Tea Powder, Ghee, Lassi, Panner)->582
Set(Butter, Ghee, Bread, Milk)->557
Set(Yougurt, Lassi, Coffee Powder, Milk)->585
Set(Sugar, Coffee Powder, Cheese, Panner)->554
Set(Cheese, Bread, Milk, Panner)->586
Set(Tea Powder, Coffee Powder, Cheese, Milk)->512
Set(Butter, Tea Powder, Coffee Powder, Milk)->538
Set(Tea Powder, Ghee, Lassi, Cheese)->508
Set(Butter, Yougurt, Coffee Powder, Bread)->563
Set(Sugar, Butter, Sweet, Cheese)->557
Set(Butter, Sweet, Tea Powder, Panner)->566
Set(Sweet, Yougurt, Milk, Panner)->544
Set(Sweet, Tea Powder, Ghee, Yougurt)->501
Set(Sweet, Yougurt, Lassi, Coffee Powder)->580
Set(Yougurt, Lassi, Cheese, Milk)->555
Set(Sugar, Butter, Ghee, Cheese)->526
Set(Sugar, Butter, Yougurt, Panner)->584
Set(Sugar, Yougurt, Coffee Powder, Panner)->574
Set(Butter, Lassi, Cheese, Milk)->548
Set(Ghee, Yougurt, Bread, Panner)->569
Set(Lassi, Bread, Milk, Panner)->593
Set(Tea Powder, Yougurt, Cheese, Milk)->528
Set(Sugar, Sweet, Lassi, Milk)->592
Set(Tea Powder, Lassi, Cheese, Milk)->506
Set(Sugar, Yougurt, Cheese, Milk)->566
Set(Tea Powder, Lassi, Bread, Milk)->547
Set(Sugar, Butter, Tea Powder, Panner)->532
Set(Ghee, Yougurt, Lassi, Milk)->558
