(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner, Yougurt),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Sugar, Sweet),31)
(List(Bread, Ghee, Lassi, Sugar, Sweet, Tea Powder, Yougurt),45)
(List(Cheese, Lassi, Milk, Panner, Sugar, Tea Powder, Yougurt),45)
(List(Bread, Butter, Cheese, Lassi, Milk, Panner, Sweet),45)
(List(Bread, Butter, Cheese, Ghee, Lassi, Milk, Sweet),45)
(List(Bread, Cheese, Coffee Powder, Ghee, Milk, Panner, Tea Powder),45)
(List(Bread, Cheese, Ghee, Lassi, Panner, Tea Powder, Yougurt),45)
(List(Bread, Butter, Ghee, Panner, Sugar, Sweet, Tea Powder),45)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Sugar, Tea Powder),46)
(List(Butter, Cheese, Coffee Powder, Lassi, Panner, Sugar, Tea Powder),46)
(List(Bread, Cheese, Ghee, Milk, Panner, Sugar, Tea Powder),46)
(List(Butter, Lassi, Milk, Panner, Sweet, Tea Powder, Yougurt),46)
(List(Ghee, Lassi, Milk, Panner, Sweet, Tea Powder, Yougurt),46)
(List(Butter, Cheese, Lassi, Sugar, Sweet, Tea Powder, Yougurt),46)
(List(Butter, Coffee Powder, Ghee, Milk, Panner, Sweet, Tea Powder),46)
(List(Butter, Cheese, Ghee, Lassi, Sugar, Tea Powder, Yougurt),46)
(List(Bread, Cheese, Ghee, Panner, Sugar, Sweet, Tea Powder),46)
(List(Bread, Coffee Powder, Ghee, Lassi, Sugar, Sweet, Yougurt),46)
(List(Bread, Cheese, Coffee Powder, Milk, Sweet, Tea Powder, Yougurt),46)
(List(Bread, Ghee, Lassi, Milk, Panner, Tea Powder, Yougurt),46)
(List(Bread, Butter, Ghee, Milk, Panner, Sweet, Tea Powder),46)
(List(Cheese, Coffee Powder, Ghee, Milk, Panner, Sugar, Tea Powder),46)
(List(Bread, Butter, Lassi, Milk, Panner, Tea Powder, Yougurt),46)
(List(Bread, Cheese, Lassi, Milk, Sugar, Tea Powder, Yougurt),46)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Sweet, Tea Powder),46)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Sugar, Tea Powder),46)
(List(Butter, Cheese, Coffee Powder, Lassi, Milk, Panner, Tea Powder),46)
(List(Bread, Butter, Coffee Powder, Ghee, Panner, Sugar, Sweet),46)
(List(Bread, Coffee Powder, Ghee, Sugar, Sweet, Tea Powder, Yougurt),46)
(List(Butter, Cheese, Coffee Powder, Ghee, Sugar, Sweet, Yougurt),46)
(List(Bread, Cheese, Lassi, Milk, Sweet, Tea Powder, Yougurt),46)
(List(Bread, Butter, Cheese, Ghee, Lassi, Panner, Tea Powder),46)
(List(Butter, Ghee, Milk, Sugar, Sweet, Tea Powder, Yougurt),46)
(List(Bread, Cheese, Ghee, Sugar, Sweet, Tea Powder, Yougurt),46)
(List(Bread, Butter, Ghee, Milk, Sugar, Sweet, Yougurt),46)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Tea Powder, Yougurt),46)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner, Tea Powder),46)
(List(Bread, Cheese, Coffee Powder, Lassi, Sugar, Sweet, Yougurt),46)
(List(Bread, Butter, Milk, Sugar, Sweet, Tea Powder, Yougurt),47)
(List(Cheese, Coffee Powder, Lassi, Milk, Panner, Tea Powder, Yougurt),47)
(List(Cheese, Coffee Powder, Ghee, Lassi, Sugar, Tea Powder, Yougurt),47)
(List(Bread, Butter, Milk, Panner, Sugar, Tea Powder, Yougurt),47)
(List(Butter, Cheese, Ghee, Panner, Sugar, Sweet, Yougurt),47)
(List(Bread, Cheese, Ghee, Lassi, Milk, Sweet, Tea Powder),47)
(List(Bread, Butter, Coffee Powder, Lassi, Sweet, Tea Powder, Yougurt),47)
(List(Butter, Cheese, Milk, Sugar, Sweet, Tea Powder, Yougurt),47)
(List(Bread, Butter, Cheese, Lassi, Panner, Sugar, Tea Powder),47)
(List(Cheese, Coffee Powder, Ghee, Lassi, Panner, Sugar, Tea Powder),47)
(List(Bread, Cheese, Ghee, Lassi, Sweet, Tea Powder, Yougurt),47)
(List(Cheese, Ghee, Lassi, Panner, Sugar, Tea Powder, Yougurt),47)
(List(Bread, Butter, Cheese, Milk, Panner, Tea Powder, Yougurt),47)
(List(Bread, Cheese, Coffee Powder, Ghee, Panner, Sugar, Tea Powder),47)
(List(Butter, Cheese, Coffee Powder, Ghee, Milk, Panner, Sweet),47)
(List(Butter, Lassi, Panner, Sugar, Sweet, Tea Powder, Yougurt),47)
(List(Bread, Butter, Cheese, Ghee, Lassi, Milk, Tea Powder),47)
(List(Butter, Cheese, Lassi, Milk, Panner, Tea Powder, Yougurt),47)
(List(Bread, Cheese, Milk, Panner, Sugar, Tea Powder, Yougurt),47)
(List(Bread, Butter, Cheese, Coffee Powder, Panner, Sugar, Yougurt),47)
(List(Bread, Butter, Coffee Powder, Ghee, Milk, Sweet, Tea Powder),47)
(List(Cheese, Ghee, Lassi, Milk, Sugar, Tea Powder, Yougurt),47)
(List(Cheese, Coffee Powder, Lassi, Sugar, Sweet, Tea Powder, Yougurt),47)
(List(Bread, Cheese, Coffee Powder, Ghee, Sugar, Sweet, Yougurt),47)
(List(Bread, Butter, Cheese, Lassi, Panner, Sweet, Tea Powder),47)
(List(Bread, Butter, Coffee Powder, Ghee, Lassi, Panner, Sweet),47)
(List(Bread, Cheese, Ghee, Lassi, Sugar, Sweet, Tea Powder),47)
(List(Butter, Coffee Powder, Ghee, Panner, Sweet, Tea Powder, Yougurt),47)
(List(Butter, Cheese, Coffee Powder, Ghee, Sweet, Tea Powder, Yougurt),47)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Sugar, Sweet),47)
(List(Butter, Cheese, Coffee Powder, Lassi, Panner, Tea Powder, Yougurt),47)
(List(Butter, Cheese, Lassi, Milk, Panner, Sweet, Tea Powder),48)
(List(Bread, Butter, Coffee Powder, Ghee, Milk, Sweet, Yougurt),48)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Panner, Sweet),48)
(List(Butter, Cheese, Ghee, Lassi, Panner, Tea Powder, Yougurt),48)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Sweet, Yougurt),48)
(List(Bread, Butter, Coffee Powder, Lassi, Milk, Sweet, Tea Powder),48)
(List(Butter, Coffee Powder, Ghee, Milk, Sweet, Tea Powder, Yougurt),48)
(List(Bread, Butter, Cheese, Lassi, Sugar, Sweet, Yougurt),48)
(List(Bread, Butter, Coffee Powder, Milk, Panner, Sugar, Tea Powder),48)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Sugar, Sweet),48)
(List(Butter, Cheese, Ghee, Lassi, Panner, Sugar, Tea Powder),48)
(List(Cheese, Coffee Powder, Ghee, Panner, Sugar, Sweet, Yougurt),48)
(List(Bread, Cheese, Milk, Panner, Sugar, Sweet, Tea Powder),48)
(List(Butter, Cheese, Ghee, Panner, Sugar, Tea Powder, Yougurt),48)
(List(Bread, Butter, Coffee Powder, Ghee, Panner, Sweet, Yougurt),48)
(List(Butter, Cheese, Ghee, Lassi, Sugar, Sweet, Yougurt),48)
(List(Butter, Cheese, Coffee Powder, Ghee, Panner, Sugar, Tea Powder),48)
(List(Bread, Butter, Ghee, Lassi, Sugar, Sweet, Yougurt),48)
(List(Cheese, Ghee, Lassi, Milk, Panner, Sugar, Tea Powder),48)
(List(Cheese, Ghee, Lassi, Milk, Panner, Sugar, Sweet),48)
(List(Butter, Cheese, Ghee, Panner, Sweet, Tea Powder, Yougurt),48)
(List(Bread, Butter, Cheese, Panner, Sweet, Tea Powder, Yougurt),48)
(List(Butter, Lassi, Milk, Panner, Sugar, Tea Powder, Yougurt),48)
(List(Bread, Butter, Lassi, Milk, Panner, Sweet, Yougurt),48)
(List(Butter, Cheese, Milk, Panner, Sugar, Sweet, Tea Powder),48)
(List(Butter, Coffee Powder, Milk, Panner, Sweet, Tea Powder, Yougurt),48)
(List(Bread, Coffee Powder, Lassi, Milk, Sugar, Tea Powder, Yougurt),48)
(List(Bread, Coffee Powder, Ghee, Milk, Sweet, Tea Powder, Yougurt),48)
(List(Bread, Lassi, Milk, Sugar, Sweet, Tea Powder, Yougurt),48)
(List(Bread, Cheese, Coffee Powder, Milk, Panner, Tea Powder, Yougurt),48)
(List(Bread, Butter, Cheese, Panner, Sugar, Tea Powder, Yougurt),48)
(List(Bread, Butter, Cheese, Coffee Powder, Sugar, Tea Powder, Yougurt),48)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Milk, Tea Powder),48)
(List(Bread, Lassi, Milk, Panner, Sweet, Tea Powder, Yougurt),48)
(List(Bread, Cheese, Ghee, Milk, Panner, Sugar, Sweet),48)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Lassi, Tea Powder),48)
(List(Bread, Butter, Lassi, Milk, Panner, Sweet, Tea Powder),48)
(List(Butter, Coffee Powder, Ghee, Lassi, Milk, Panner, Sweet),49)
(List(Bread, Butter, Cheese, Ghee, Milk, Panner, Tea Powder),49)
(List(Bread, Cheese, Coffee Powder, Panner, Sweet, Tea Powder, Yougurt),49)
(List(Bread, Cheese, Milk, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Butter, Cheese, Coffee Powder, Milk, Panner, Sugar, Tea Powder),49)
(List(Butter, Cheese, Lassi, Milk, Sugar, Sweet, Yougurt),49)
(List(Bread, Ghee, Panner, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Sweet, Yougurt),49)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Tea Powder, Yougurt),49)
(List(Bread, Lassi, Panner, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Cheese, Lassi, Milk, Panner, Sweet, Tea Powder, Yougurt),49)
(List(Butter, Coffee Powder, Ghee, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Bread, Butter, Ghee, Milk, Sugar, Sweet, Tea Powder),49)
(List(Bread, Cheese, Lassi, Milk, Panner, Tea Powder, Yougurt),49)
(List(Butter, Coffee Powder, Lassi, Milk, Panner, Sweet, Tea Powder),49)
(List(Bread, Ghee, Milk, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Bread, Cheese, Panner, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Bread, Butter, Coffee Powder, Lassi, Milk, Tea Powder, Yougurt),49)
(List(Butter, Cheese, Coffee Powder, Ghee, Milk, Sugar, Tea Powder),49)
(List(Bread, Cheese, Coffee Powder, Ghee, Panner, Tea Powder, Yougurt),49)
(List(Butter, Coffee Powder, Ghee, Panner, Sugar, Sweet, Tea Powder),49)
(List(Bread, Butter, Coffee Powder, Lassi, Sugar, Tea Powder, Yougurt),49)
(List(Bread, Butter, Lassi, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Bread, Butter, Ghee, Milk, Panner, Sweet, Yougurt),49)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Sugar, Tea Powder),49)
(List(Cheese, Coffee Powder, Lassi, Milk, Sugar, Tea Powder, Yougurt),49)
(List(Bread, Milk, Panner, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Butter, Cheese, Ghee, Lassi, Panner, Sugar, Sweet),49)
(List(Butter, Cheese, Panner, Sugar, Sweet, Tea Powder, Yougurt),49)
(List(Bread, Butter, Cheese, Milk, Sugar, Tea Powder, Yougurt),49)
(List(Bread, Cheese, Ghee, Panner, Sugar, Tea Powder, Yougurt),49)
(List(Cheese, Ghee, Milk, Sugar, Sweet, Tea Powder, Yougurt),50)
(List(Cheese, Coffee Powder, Ghee, Panner, Sweet, Tea Powder, Yougurt),50)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Sugar, Yougurt),50)
(List(Coffee Powder, Ghee, Milk, Sugar, Sweet, Tea Powder, Yougurt),50)
(List(Bread, Butter, Coffee Powder, Ghee, Sugar, Sweet, Yougurt),50)
